file_id,ContainerIdentifier,SeriesInstanceUID,series_aws_url
GTEX-132Q8-1526,GTEX-132Q8-1525,1.3.6.1.4.1.5962.99.1.2028004562.2068507424.1720014955730.4.0,s3://idc-open-data/5c08f977-d6e5-4bdc-af2a-267e2ab99012/*
GTEX-1I1GQ-0926,GTEX-1I1GQ-0925,1.3.6.1.4.1.5962.99.1.2238423864.531547769.1720225375032.4.0,s3://idc-open-data/386e1f88-4691-4046-9bdd-e534da213755/*
GTEX-PVOW-0426,GTEX-PVOW-0425,1.3.6.1.4.1.5962.99.1.2251865912.2097023657.1720238817080.4.0,s3://idc-open-data/e68cf162-cedb-4c59-beed-36044c4878c8/*
GTEX-RN5K-2226,GTEX-RN5K-2225,1.3.6.1.4.1.5962.99.1.2092032838.2056893380.1720078984006.4.0,s3://idc-open-data/70b577f9-1d32-4752-bac3-b99643085ee8/*
GTEX-1S82P-0626,GTEX-1S82P-0625,1.3.6.1.4.1.5962.99.1.2196905383.1821980378.1720183856551.4.0,s3://idc-open-data/efc304d4-ee45-40d5-aed2-401bb6c7d661/*
GTEX-QMRM-0326,GTEX-QMRM-0325,1.3.6.1.4.1.5962.99.1.2099539396.761718985.1720086490564.4.0,s3://idc-open-data/24221b33-c03f-4358-9297-7ea0b4fbbf4e/*
GTEX-1HSMP-1726,GTEX-1HSMP-1725,1.3.6.1.4.1.5962.99.1.2318124337.529895369.1720305075505.4.0,s3://idc-open-data/0cac8195-38e1-489f-be47-1eaaa6865a14/*
GTEX-131YS-2026,GTEX-131YS-2025,1.3.6.1.4.1.5962.99.1.2465021716.954011535.1720451972884.4.0,s3://idc-open-data/90902c7b-3336-4288-b7c1-18606214cdf5/*
GTEX-WYJK-0226,GTEX-WYJK-0225,1.3.6.1.4.1.5962.99.1.2146412999.1648210249.1720133364167.4.0,s3://idc-open-data/ff40ff34-7079-479d-a6fb-e6d98c5014f0/*
GTEX-1IL2V-1926,GTEX-1IL2V-1925,1.3.6.1.4.1.5962.99.1.2476781801.1399042358.1720463732969.4.0,s3://idc-open-data/d107aba1-d7d7-4777-a7eb-5e80747a2d68/*
GTEX-1399Q-1426,GTEX-1399Q-1425,1.3.6.1.4.1.5962.99.1.2243537078.427131235.1720230488246.4.0,s3://idc-open-data/aaf41e38-a033-434a-ba91-8a91051f23dc/*
GTEX-1JJ6O-2026,GTEX-1JJ6O-2025,1.3.6.1.4.1.5962.99.1.2119865725.5589229.1720106816893.4.0,s3://idc-open-data/2da2cd38-fe7f-47bf-801e-242e22569a9a/*
GTEX-1QW4Y-1626,GTEX-1QW4Y-1625,1.3.6.1.4.1.5962.99.1.2160385385.1459636686.1720147336553.4.0,s3://idc-open-data/67b81186-dbe0-44f5-a972-f4c2fb3ef8ed/*
GTEX-1A8G6-1526,GTEX-1A8G6-1525,1.3.6.1.4.1.5962.99.1.2392231094.1205103789.1720379182262.4.0,s3://idc-open-data/d66670bd-9816-4195-b63c-fce4110b6d8c/*
GTEX-1IKK5-2226,GTEX-1IKK5-2225,1.3.6.1.4.1.5962.99.1.2207297771.1341859401.1720194248939.4.0,s3://idc-open-data/48ad43a1-144e-4e33-bcd1-6fbdd0134478/*
